teamName,avg,obp,slg,ops
Toronto Blue Jays,89.3,78.1,93.8,444
Athletics,89.8,79.4,93.3,470
Chicago White Sox,89.8,78.9,93.4,446
Los Angeles Angels,89.9,79.2,93.7,463
Arizona Diamondbacks,90.1,79.2,94.2,450
Baltimore Orioles,89.6,79.1,93.7,458
Colorado Rockies,89.6,78.5,93.7,466
St. Louis Cardinals,90,79.2,94.1,448
Cleveland Guardians,90,79.7,93.7,445
Chicago Cubs,89.6,79.4,93.4,458
Seattle Mariners,89.5,78.6,93.1,448
Miami Marlins,90,79.8,93.7,438
Los Angeles Dodgers,90.1,79.7,93.8,455
Texas Rangers,89.2,78.4,93.1,479
San Diego Padres,89.1,78.1,93.2,467
Atlanta Braves,89.3,78.5,93.4,462
Cincinnati Reds,88.9,78.3,93,457
Tampa Bay Rays,90.1,79.6,93.6,442
Minnesota Twins,89.7,78.8,93.9,450
Boston Red Sox,89.3,78.2,93.2,454
Washington Nationals,89.8,79,92.7,466
Detroit Tigers,88.9,78,93.1,442
New York Yankees,88.9,77.9,92.8,440
Kansas City Royals,88.8,77.7,93.1,469
Pittsburgh Pirates,89.1,78.3,93.1,445
Milwaukee Brewers,89.2,78.6,93,468
Houston Astros,89.2,78.6,93.2,435
Philadelphia Phillies,89,78.1,92.6,442
New York Mets,89.8,79.2,94,438
San Francisco Giants,88.9,78,93.4,484
