,teamName,avg_batting,obp_batting,slg_batting,ops_batting,avg_pitching,obp_pitching,slg_pitching,ops_pitching
0,New York Yankees,94.7,469,390,774,115.5,78.0,440,669
1,Los Angeles Angels,94.2,484,400,669,119.6,79.1,463,808
2,New York Mets,94.6,456,396,815,114.7,79.2,438,759
3,Chicago Cubs,93.3,445,393,742,117.4,79.2,458,754
4,Los Angeles Dodgers,93.8,448,399,788,117.9,79.7,455,766
5,Boston Red Sox,94.2,442,391,835,119.0,78.0,454,798
6,Detroit Tigers,93.3,450,390,695,115.2,77.8,442,737
7,Arizona Diamondbacks,93.8,466,403,774,117.4,79.0,450,798
8,Seattle Mariners,93.0,450,391,725,120.4,78.7,448,784
9,Toronto Blue Jays,93.6,435,394,793,116.7,78.3,444,735
10,Texas Rangers,93.7,442,392,689,114.8,78.5,479,699
11,Atlanta Braves,93.9,467,402,739,117.6,78.4,462,682
12,Baltimore Orioles,93.7,455,393,709,116.3,79.2,458,773
13,Minnesota Twins,93.4,479,397,726,116.6,78.7,450,750
14,Philadelphia Phillies,93.0,466,397,759,116.4,78.0,442,724
15,Washington Nationals,93.8,448,399,714,115.8,79.2,466,836
16,Colorado Rockies,93.3,457,404,645,115.4,78.5,466,865
17,Pittsburgh Pirates,93.4,463,397,685,115.5,78.3,445,762
18,Athletics,92.7,440,397,716,117.5,79.4,470,827
19,Houston Astros,92.4,436,385,689,114.4,78.5,447,667
20,Miami Marlins,93.2,427,397,693,117.9,79.7,451,788
21,St. Louis Cardinals,93.0,435,396,736,117.9,79.0,448,845
22,San Francisco Giants,92.4,452,388,615,116.8,78.0,484,689
23,Kansas City Royals,92.8,448,399,727,117.9,78.0,469,722
24,Chicago White Sox,93.7,425,386,680,114.9,78.6,446,787
25,Tampa Bay Rays,93.2,438,385,693,115.6,79.5,442,774
26,Cincinnati Reds,92.9,451,397,654,116.2,78.3,457,712
27,San Diego Padres,93.0,439,392,654,118.4,78.3,467,697
28,Cleveland Guardians,92.8,450,387,615,118.0,79.5,445,725
29,Milwaukee Brewers,93.1,465,398,653,122.9,78.5,468,712
