teamId,runsPerGame,avg,obp,slg,ops
2413,0,.416,.519,.693,1.212
6059,0,.411,.517,.644,1.161
6036,0,.380,.474,.633,1.107
6071,0,.379,.525,.483,1.008
545,0,.378,.455,.459,.914
792,0,.360,.467,.540,1.007
6078,0,.356,.468,.619,1.087
3110,0,.353,.424,.603,1.027
4767,0,.351,.473,.553,1.026
5020,0,.346,.471,.444,.915
6051,0,.344,.414,.528,.942
5323,0,.342,.469,.526,.995
632,0,.342,.448,.475,.923
532,0,.341,.417,.550,.967
5070,0,.340,.485,.505,.990
245,0,.335,.432,.589,1.021
6020,0,.333,.457,.459,.916
5488,0,.333,.466,.526,.992
415,0,.330,.398,.443,.841
5320,0,.329,.441,.551,.992
579,0,.325,.404,.520,.924
5080,0,.324,.379,.638,1.017
528,0,.323,.390,.500,.890
226,0,.323,.417,.581,.998
502,0,.322,.398,.496,.894
520,0,.320,.376,.496,.872
4784,0,.320,.403,.472,.875
6303,0,.319,.409,.523,.932
3031,0,.318,.454,.545,.999
6310,0,.316,.470,.385,.855
5466,0,.316,.450,.453,.903
6354,0,.316,.458,.368,.826
6041,0,.316,.527,.658,1.185
6042,0,.315,.407,.456,.863
602,0,.314,.392,.413,.805
920,0,.314,.429,.460,.889
4765,0,.308,.396,.417,.813
101,0,.308,.416,.567,.983
6338,0,.305,.485,.453,.938
6230,0,.304,.511,.489,1.000
5554,0,.304,.395,.478,.873
5467,0,.304,.376,.392,.768
575,0,.304,.387,.434,.821
5451,0,.303,.410,.455,.865
6304,0,.301,.388,.453,.841
536,0,.301,.376,.462,.838
6072,0,.300,.389,.600,.989
5567,0,.299,.385,.469,.854
2351,0,.299,.392,.626,1.018
4444,0,.299,.387,.465,.852
