teamName,avg,obp,slg,ops,era,whip,k9,bb9
New York Yankees,94.7,469,390,774,,,,
Los Angeles Angels,94.2,484,400,669,,,,
New York Mets,94.6,456,396,815,,,,
Chicago Cubs,93.3,445,393,742,,,,
Los Angeles Dodgers,93.8,448,399,788,,,,
Boston Red Sox,94.2,442,391,835,,,,
Detroit Tigers,93.3,450,390,695,,,,
Arizona Diamondbacks,93.8,466,403,774,,,,
Seattle Mariners,93.0,450,391,725,,,,
Toronto Blue Jays,93.6,435,394,793,,,,
Texas Rangers,93.7,442,392,689,,,,
Atlanta Braves,93.9,467,402,739,,,,
Baltimore Orioles,93.7,455,393,709,,,,
Minnesota Twins,93.4,479,397,726,,,,
Philadelphia Phillies,93.0,466,397,759,,,,
Washington Nationals,93.8,448,399,714,,,,
Colorado Rockies,93.3,457,404,645,,,,
Pittsburgh Pirates,93.4,463,397,685,,,,
Athletics,92.7,440,397,716,,,,
Houston Astros,92.4,436,385,689,,,,
Miami Marlins,93.2,427,397,693,,,,
St. Louis Cardinals,93.0,435,396,736,,,,
San Francisco Giants,92.4,452,388,615,,,,
Kansas City Royals,92.8,448,399,727,,,,
Chicago White Sox,93.7,425,386,680,,,,
Tampa Bay Rays,93.2,438,385,693,,,,
Cincinnati Reds,92.9,451,397,654,,,,
San Diego Padres,93.0,439,392,654,,,,
Cleveland Guardians,92.8,450,387,615,,,,
Milwaukee Brewers,93.1,465,398,653,,,,
