teamName,avg,obp,slg,ops
Toronto Blue Jays,1817,15.9,34.3,116.7
Arizona Diamondbacks,1923,11.8,35.9,117.4
Athletics,2105,16.2,35.6,117.5
Los Angeles Angels,1947,12.7,32.4,119.6
Baltimore Orioles,1925,12.8,35,116.3
Chicago White Sox,1918,14.9,35.3,114.9
Colorado Rockies,2112,11.4,33.9,116.2
Miami Marlins,1951,12.9,35.1,117.9
St. Louis Cardinals,1988,10.1,32.6,117.9
Seattle Mariners,1948,13.3,33.6,120.4
Chicago Cubs,1916,14.8,34.8,117.4
Cincinnati Reds,1881,16.7,34.6,116.2
Cleveland Guardians,1836,14.6,34.9,118
San Diego Padres,1798,15,34.3,118.4
Los Angeles Dodgers,1888,13.1,35.1,117.9
Texas Rangers,1833,12.5,33.7,114.8
Minnesota Twins,1832,16,33.6,116.6
Atlanta Braves,1727,11,33.8,117.6
Washington Nationals,1968,14.3,33.9,115.8
Tampa Bay Rays,1892,12.3,32.3,115.6
Detroit Tigers,1859,12.6,34.2,115.2
Boston Red Sox,1981,10.8,34.1,119
Pittsburgh Pirates,1923,12.5,32.4,115.5
Kansas City Royals,1895,13.1,33,117.9
New York Yankees,1752,12.5,32.9,115.5
Milwaukee Brewers,1884,15.1,34.9,122.9
Houston Astros,1705,14.6,33.5,114.4
New York Mets,1836,11.5,30.7,114.7
Philadelphia Phillies,1876,12.8,34.1,116.4
San Francisco Giants,1832,10.2,32.6,116.8
